Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2026-07-13,27,1566,1.72%,8.2
2026-07-14,30,1534,1.96%,8.1
2026-07-15,35,1571,2.23%,8.1
2026-07-16,34,1610,2.11%,8.2
2026-07-17,33,1743,1.89%,8
2026-07-18,40,1735,2.31%,8.1
2026-07-19,37,1795,2.06%,8.3
2026-07-20,41,1997,2.05%,8
2026-07-21,33,1768,1.87%,8.4
2026-07-22,29,1664,1.74%,8.7
2026-07-23,48,1571,3.06%,8.4
2026-07-24,41,1574,2.6%,8.8
2026-07-25,52,1571,3.31%,8.6
2026-07-26,39,1767,2.21%,9.2
2026-07-27,61,2449,2.49%,7.9
2026-07-28,81,3214,2.52%,8
2026-07-29,68,3445,1.97%,8
2026-07-30,108,3674,2.94%,8.1
2026-07-31,106,3775,2.81%,7.9
2026-08-01,111,3763,2.95%,7.7
2026-08-02,92,3490,2.64%,7.8
2026-08-03,91,3876,2.35%,9
2026-08-04,106,3595,2.95%,7.8
2026-08-05,112,3553,3.15%,7.9
2026-08-06,98,3964,2.47%,7.9
2026-08-07,87,3894,2.23%,7.5
2026-08-08,99,4002,2.47%,7.6
2026-08-09,119,3939,3.02%,8
