Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Türkiye,1824,72141,2.53%,8.05
Almanya,9,311,2.89%,6.71
Hollanda,5,185,2.7%,6.38
İngiltere,4,188,2.13%,6.83
Amerika Birleşik Devletleri,3,450,0.67%,7.67
Irak,2,37,5.41%,6.46
Avustralya,2,21,9.52%,6.76
Avusturya,1,67,1.49%,6.87
Güney Kıbrıs Rum Yönetimi,1,48,2.08%,6.79
İtalya,1,40,2.5%,7.12
Fransa,1,34,2.94%,7.91
Belçika,1,30,3.33%,8.37
Kanada,1,19,5.26%,8.37
Libya,1,15,6.67%,7.13
Georgia,1,13,7.69%,8.08
Mozambik,1,1,100%,3
İsviçre,0,33,0%,9.73
Azerbaycan,0,31,0%,6.87
Birleşik Arap Emirlikleri,0,27,0%,7.74
Hindistan,0,25,0%,24.88
Rusya,0,21,0%,6.9
Filipinler,0,19,0%,19.95
İspanya,0,15,0%,8
Yunanistan,0,15,0%,8.73
İsveç,0,14,0%,6.43
Bangladeş,0,14,0%,11.71
Endonezya,0,14,0%,37.36
Danimarka,0,11,0%,7.55
Suudi Arabistan,0,11,0%,11.82
Norveç,0,10,0%,5.9
Polonya,0,10,0%,7.5
Tayland,0,10,0%,15.2
Vietnam,0,9,0%,29.33
Singapur,0,8,0%,6.88
İran,0,7,0%,7.71
Suriye,0,7,0%,30.86
Bulgaristan,0,6,0%,5.17
Brezilya,0,6,0%,7
Arnavutluk,0,6,0%,7.67
Özbekistan,0,6,0%,7.83
Ukrayna,0,6,0%,10.83
Malezya,0,6,0%,15
Colombia,0,6,0%,31.83
Kazakistan,0,5,0%,6.2
İrlanda,0,5,0%,6.6
Nijer,0,5,0%,7.8
Bosna Hersek,0,5,0%,8.8
Meksika,0,5,0%,17.6
İsrail,0,4,0%,5.75
Portekiz,0,4,0%,5.75
Katar,0,4,0%,5.75
Japonya,0,4,0%,9
Romanya,0,4,0%,9.25
Tayvan,0,4,0%,9.75
Sırpça,0,4,0%,10.25
Pakistan,0,4,0%,21.25
Çekya,0,3,0%,3
Tanzanya,0,3,0%,4.67
Malta,0,3,0%,5
Litvanya,0,3,0%,5.33
Fas,0,3,0%,5.33
Montenegro,0,3,0%,5.67
Çin,0,3,0%,6
Hong Kong,0,3,0%,6.33
Makedonya,0,3,0%,8.67
Estonya,0,3,0%,9
Ekvador,0,3,0%,9.33
Etiyopya,0,3,0%,25
Mısır,0,2,0%,1.5
Umman,0,2,0%,2.5
Kuveyt,0,2,0%,3.5
Tunus,0,2,0%,4.5
Şili,0,2,0%,5.5
Hırvatça,0,2,0%,6
Kırgızistan,0,2,0%,7.5
Bilinmeyen Bölge,0,2,0%,8
Finlandiya,0,2,0%,10.5
Nijerya,0,2,0%,11
Peru,0,2,0%,11
Moğolistan,0,2,0%,12.5
Dominik Cumhuriyeti,0,2,0%,33
Filistin,0,2,0%,36.5
Güney Kore,0,2,0%,41
Bolivya,0,2,0%,41.5
Cezayir,0,2,0%,42
Arjantin,0,2,0%,49
Türkmenistan,0,1,0%,1
Bahreyn,0,1,0%,5
İzlanda,0,1,0%,5
Venezuela,0,1,0%,5
Belarus,0,1,0%,6
Sri Lanka,0,1,0%,6
Lüksemburg,0,1,0%,6
Kosova,0,1,0%,7
Letonya,0,1,0%,8
Paraguay,0,1,0%,8
Liberya,0,1,0%,9
Somali,0,1,0%,9
Nepal,0,1,0%,10
Macaristan,0,1,0%,12
Ürdün,0,1,0%,13
Guatemala,0,1,0%,24
Kenya,0,1,0%,93
