# TLY (Tera Portföy Birinci Serbest Fon) — 3 Ağustos 2026'da yayımlanan
# KAP Temmuz 2026 portföy dağılım raporu. Kaynak: ekofin.net/fonlar/detay/TLY/fon-portfoyu
# Kodlar ekranda kırpık geldiği için bazıları eksik; tam_kod sütununu doldur.
kod,tam_kod,fiyat_tl,yuzde,onceki_ay,degisim_puan
OZA...,,4462.50,34.27,14.30,19.97
DST...,,2200.00,12.02,22.85,-10.83
TEH...,,46.18,9.22,7.14,2.08
PEK...,,15.13,8.76,7.73,1.03
HMV,HMV,17.32,5.62,1.27,4.35
TERA,TERA,179.90,4.11,6.63,-2.52
TRH...,,2600.00,4.01,5.61,-1.60
ANE...,,148.90,2.20,1.99,0.21
ALKLC,ALKLC,422.00,1.92,0.54,1.38
SELEC,SELEC,292.50,1.70,1.04,0.66
BIGEN,BIGEN,153.00,1.55,0.00,1.55
HED...,,127.60,0.57,0.27,0.30
SVG...,,17.29,0.52,0.52,0.00
EUP...,,93.20,0.40,0.01,0.39
MANAS,MANAS,33.42,0.28,0.14,0.14
SAR...,,88.10,0.12,0.00,0.12
DAP...,,8.60,0.05,0.07,-0.02
GES...,,88.65,0.04,0.00,0.04
YKB...,,36.52,0.03,0.00,0.03
TMP...,,565.00,0.03,0.01,0.02
MET...,,24.20,0.02,0.00,0.02
EFOR,EFOR,19.80,0.01,0.00,0.01
T3B,T3B,0.13,0.01,0.02,-0.01
UKA,UKA,8215.29,0.00,11.91,-11.91
